game,winner
i10h9j9h11k10j10m6m12m8h7l9j11m9m7,1
i10h9j9h11k10j10m6m12m9i8k8l7k9k11,1
i10h9j9h11k10j10g6m12m6l7n7l5n6k6m8l9h7i8j7m5g7i7n5n4l6g5f7p6f5g10f6f4h6e6f8f9,1
i10h9j9h11k10j10m6m12l7k8l6n6k6l4m8j5l9j11,1
i10h9j9h11k10j10g6m12k9m9l7k8k13h7m11l12k11k12n12l10q15l13l11j11i4o11l4o13o10h5h8i6j7j5k4j4f9k5i5l5i12i11m7k7o4m4o5o7l8n6n5q5n9m8n11n10n15o3p3m6p6q7p4p5r1q2,0
i10h9j9h11k10j10l9l11o6i8h13n7i12j11f11i14e16m6k9m9k6k11i11h8h10,-1
i10h9j9h11k10j10g6m12k9h7m6k8h6f6l9m9o6p6n7m8n8p9o8k4o7o5p7q7n4n5n9m10m11n10o10o9n12l7l10,1
i10h9j9h11k10j10l9l11i8g6m9k9h12i7o6n7i12j11i13i11k11j12l10o7m7k13l14f10g9k15m6m8l6l7,1
i10h9j9h11k10j10g6m12m6i8k9k8h8m9j7p9f6e6k12e5g5g4h6j8f4e3e4f5h3h4g9j6l8e11n6p6o5m7k13k11o6o7n8p7p8,-1
i10h9j9h11k10j10g6m12k9k6m6k8i8h7l9m9k11i12i7i9l10j8h10m8m11l11l6n12l7l8n8k5k7l5m5i5k13k12l12n10j13i15i13h13j12h14,1
i10h9j9h11k10j10g6m12l9n7i12j11i11i9h8i13i6m6i8h7k8j7,1
i10h9j9h11k10j10l9i8o6h13m6m8k9m9k8l7,1
i10h9j9h11k10j10l7m12k7k8i7j7i8i9,1
i10h9j9h11k10j10g6l11l9n7m8m6h13k9l8l6n8k8m9m11i12j11k11l10j8p8i13i11h7i8f11k6j7,-1
i10h9j9h11k10j10g6l11i12i8h13j11f11i14i13g13i11i9h8g14m6k11j13k13m11g15g12d9f12h12f8f14h14f9g9h10l7k8e12c14e11f10g7e9g8,1
i10h9j9h11k10j10g6m12m6i12l7k8l5o8l4l6l11k4m4m5j8l3j5k6n5o4k5j6g5h5i6g8i8h7,1
i10h9j9h11k10j10m6i8n13l5m8m5l7k8h8l9j7l11o4n9i7k7k5j6m9m11m10m7l10o7g7o10p3n5o5n4l6n6l4,-1
i10h9j9h11k10j10l9l11i12j11i11i9h8i8o6i14g9i7j12h10k8l12j7m10k11k9j8h14l7m6j5j6,1
i10h9j9h11k10j10g6i12k9k8m12l11h6l9m10m11k11h5k13k12h12k6j7i6h7i8i7j8,1
i10h9j9h11k10j10g6m12k9m9k7k8k13i8h8h13j7i7n7j8f6i5i6h6m8l9h5e8g7e5g4f3,1
i10h9j9h11k10j10n13i8m6l11o6n6m4m5n7n5o8p9o5o7l4k4n4k5k6j5l5n3l2m3,1
i10h9j9h11k10j10g6l11l9n7m8h13i12j11i11i13,1
i10h9j9h11k10j10g6m12k9m9m6k8n7l5p9o8k13h7n5n8h8o7l10o4m11j8n6l6l8o9o6,-1
i10h9j9h11k10j10m6m12l11i8l9m9o6l8f11n6k8l7k11k9m7h12i11,-1
i10h9j9h11k10j10g6m12k9m9l7k8k13h7n7m7i4h5h8i6j7m8m6p9j8j5g8l5i7l10g9f10,1
i10h9j9h11k10j10g6m12l7i8n5l8f11i12i4l5o4m6k6j5h5f7i6h6k9k8j8m11j3k2n9i5l9m9m8o10,1
i10h9j9h11k10j10g6m12l9n7i12j11i11i9h8l12i15l7i6h7i4f7i14i13j6h6i7g9,1
i10h9j9h11k10j10l9i8o6h13i12i13h12e12k9m9k12k11,1
i10h9j9h11k10j10m6m12l11i8k11k8h8n11o8l5k14n9j6i7o6j7k6l6l7i6l9,-1
i10h9j9h11k10j10g6m12l9n7m9k9h12i12p9m6p6n8j6m7l8k7l7l10m5k5l6l5k4p7o11n4p12n10n9o9m11p11q13j5l11h7k12m10p10k11h8k6k8i8j7m13l12m14h5i6f9f7h15l15i4o12n13i14h4j4,0
i10h9j9h11k10j10g6m12i12i8h13j11k9m9i13i11k11k12f11g13h14j12h10f14h12h16f10g11,1
i10h9j9h11k10j10n13i12m6l15l7k8i8l11p3g6l6l8i7i9h8j6l5e8f8o8g8j8k7j7m10i6h5,-1
i10h9j9h11k10j10g6m12j6i12g3e8m6h7m3h6h8i7g10l7h10e10g7e5g9g8f9e11e9f8c8c9k13k7j7l6j8j5i6l5l8g4k8i8,1
i10h9j9h11k10j10n13h7i12m12k9l9m6k8n12i11h8k13n11n10k11m11l12i6j7n14i7j6h6j8m9e11g11k4j5n8f4m7l8l14j12m14o14,-1
i10h9j9h11k10j10l9i8l11h13m8n7m9k9h12m6j11i12m11m12,1
i10h9j9h11k10j10l9l11i12j11i11i9h8i8n7l5i15i14g9h10h13i7j7k8d12j8g11l12o6m8l8g10f15g14l6f10p5l7i5g5h6g7j6k7k6i6h4g3h3n6r3q4h5,1
i10h9j9h11k10j10l9h7i12j11h8m12m9k9i11i9o6p9i15m6n7m8o7o4l7m7l10n8,1
i10h9j9h11k10j10m12l11h7l12k7i8k4i7n4k11m13m10i11i6i9i13l10j13k12g10i12,-1
i10h9j9h11k10j10m6m12l7k8l6n6l10l4l5k4n5l8m5k5k7n4m4m3n2o5m7m8,1
i10h9j9h11k10j10g6m12k9l9k6h7k13i6i4h5k8k7l7m6,1
i10h9j9h11k10j10g6m12l9n7i12j11i11i13,1
i10h9j9h11k10j10g6m12l9n7m9k9h12i12n9p9l8l7o11n10o8p7p8n8m10o12i8h7k8j8,1
i10h9j9h11k10j10g6m12l11l12k11m11k12k9h12i8l8k14m14l13n11j13i12k13n10,-1
i10h9j9h11k10j10m12l11g6l9o10n11o12l7h7i8d3n12l10o13h6k6j7n9n10m10o8j5m8o11m11p8h5h4i6f6,1
